id	html	image	time	align
52	a,credit_Europe_01.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_08\0	10	5
53	a,credit_Europe_02.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_08\0	10	5
54	a,credit_Europe_03.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_08\0	10	5
55	a,credit_Europe_04.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_09\0	10	5
56	a,credit_Europe_05.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_09\0	10	5
57	a,credit_Europe_06.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_09\0	10	5
58	a,credit_thai_01.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_10\0	10	5
59	a,credit_thai_02.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_10\0	10	5
60	a,credit_thai_03.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_10\0	10	5
61	a,credit_RU_01.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_01\0	10	5
62	a,credit_RU_02.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_01\0	10	5
63	a,credit_RU_03.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_01\0	10	5
64	a,credit_RU_04.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_02\0	10	5
65	a,credit_id_01.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_03\0	10	5
66	a,credit_specialthanks_01.htm\0	a,L2UI_CT1.Slideshow_DF_Credit_03\0	10	5
