nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa
45	255	24	21	30000.00000000	-30000.00000000	a,Antharas' Lair\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
46	251	22	21	30000.00000000	-30000.00000000	a,Death Pass\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
47	254	20	22	30000.00000000	-30000.00000000	a,Dion Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
48	255	20	22	30000.00000000	-30000.00000000	a,Town of Dion\0	927	2042	11840	138432	1024	1024	0.05000000	a,map_dion_castle_town\0	0
49	252	20	23	30000.00000000	-30000.00000000	a,Monster Race Track\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
50	255	21	21	30000.00000000	-30000.00000000	a,Partisan's Hideaway\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
51	255	21	22	30000.00000000	-30000.00000000	a,Execution Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
52	253	20	21	30000.00000000	-4407.00000000	a,Cruma Marshlands\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
53	255	20	21	30000.00000000	-30000.00000000	a,Cruma Marshlands\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
54	254	20	21	30000.00000000	-4407.00000000	a,Cruma Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
55	253	20	21	-4408.00000000	-14036.00000000	a,Cruma Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
56	254	20	21	-4408.00000000	-30000.00000000	a,Cruma Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
57	254	21	22	30000.00000000	-30000.00000000	a,Tanor Canyon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
58	255	20	23	30000.00000000	-30000.00000000	a,Floran Village\0	903	2156	11840	165120	1024	1024	0.05000000	a,map_floran_village\0	0
59	253	20	23	30000.00000000	-30000.00000000	a,Bee Hive\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
60	255	20	14	-1952.00000000	-3952.00000000	a,Cave of Trials\0	909	765	7400	-124192	1024	1024	0.05000000	a,dungeon_map_dungeon_of_trial\0	0
61	255	20	13	30000.00000000	-30000.00000000	a,Frozen Waterfalls\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
62	255	18	14	30000.00000000	-30000.00000000	a,Orc Village\0	602	743	-52736	-120832	1024	1024	0.05000000	a,map_orc_village\0	0
63	254	18	14	30000.00000000	-30000.00000000	a,The Pa'agrio Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
64	254	23	12	30000.00000000	-30000.00000000	a,Dwarven Village\0	1417	401	110144	-187968	1024	1024	0.05000000	a,map_dwarven_village\0	0
65	255	25	12	4224.00000000	-4810.00000000	a,Mithril Mines\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
66	255	24	12	3424.00000000	-2704.00000000	a,Abandoned Coal Mines\0	1552	453	134800	-182650	1024	1024	0.05000000	a,dungeon_map_abaodoned_mime\0	0
67	255	23	12	30000.00000000	-30000.00000000	a,Strip Mine\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
68	255	24	20	30000.00000000	-30000.00000000	a,The Forest of Mirrors\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
69	255	25	19	30000.00000000	-30000.00000000	a,The Giant's Cave\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
70	254	25	19	-5172.00000000	-30000.00000000	a,Silent Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
71	255	25	18	30000.00000000	-30000.00000000	a,The Cemetery\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
72	255	24	19	30000.00000000	-30000.00000000	a,Narsell Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
73	253	25	19	30000.00000000	-30000.00000000	a,Forsaken Plains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
74	255	23	20	30000.00000000	-30000.00000000	a,Hunters Village\0	1424	1706	111104	70016	1024	1024	0.05000000	a,map_hunters_village\0	0
75	254	25	18	30000.00000000	-30000.00000000	a,The Forbidden Gateway\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
76	254	24	18	30000.00000000	-30000.00000000	a,Aden Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
77	255	24	18	30000.00000000	-30000.00000000	a,Town of Aden\0	1574	1446	139264	16384	1024	1024	0.05000000	a,map_town_of_aden\0	0
78	254	25	20	30000.00000000	-30000.00000000	a,Anghel Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
79	251	23	18	6944.00000000	5952.00000000	a,Tower of Insolence: 10th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
80	251	23	18	7952.00000000	6976.00000000	a,Tower of Insolence: 11th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
81	251	23	18	8960.00000000	7968.00000000	a,Tower of Insolence: 12th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
82	251	23	18	10048.00000000	8976.00000000	a,Tower of Insolence: 13th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
83	251	23	18	12000.00000000	10064.00000000	a,Tower of Insolence: 14th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
84	251	23	18	-3728.00000000	-10000.00000000	a,Tower of Insolence: 1st Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
85	251	23	18	-2192.00000000	-3680.00000000	a,Tower of Insolence: 2nd Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
86	251	23	18	-704.00000000	-2128.00000000	a,Tower of Insolence: 3rd Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
87	251	23	18	784.00000000	-688.00000000	a,Tower of Insolence: 4th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
88	251	23	18	1872.00000000	896.00000000	a,Tower of Insolence: 5th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
89	251	23	18	2912.00000000	1888.00000000	a,Tower of Insolence: 6th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
90	251	23	18	3920.00000000	2928.00000000	a,Tower of Insolence: 7th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
91	251	23	18	4928.00000000	3952.00000000	a,Tower of Insolence: 8th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
92	251	23	18	5936.00000000	4944.00000000	a,Tower of Insolence: 9th Floor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
93	254	24	19	30000.00000000	-30000.00000000	a,Coliseum\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
94	255	25	17	30000.00000000	-4220.00000000	a,Devastated Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
95	255	24	17	30000.00000000	-30000.00000000	a,Blazing Swamp\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
96	254	23	17	30000.00000000	-30000.00000000	a,Ancient Battleground\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
97	253	23	17	30000.00000000	-30000.00000000	a,Eastern Border Outpost\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
98	255	22	17	30000.00000000	-30000.00000000	a,Bandit Stronghold\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
99	255	22	18	30000.00000000	-4632.00000000	a,Ivory Tower\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
100	254	22	19	30000.00000000	-30000.00000000	a,Oren Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
101	255	22	19	30000.00000000	-30000.00000000	a,Town of Oren\0	1250	1595	75136	48768	1024	1024	0.05000000	a,map_town_of_oren\0	0
102	254	22	20	30000.00000000	-3900.00000000	a,Plains of the Lizardmen\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
103	255	23	19	30000.00000000	-30000.00000000	a,The Enchanted Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
104	255	21	18	30000.00000000	-30000.00000000	a,Sea of Spores\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
105	253	22	19	30000.00000000	-30000.00000000	a,Sel Mahum Training Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
106	255	19	19	30000.00000000	-30000.00000000	a,Swampland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
107	255	20	18	30000.00000000	-30000.00000000	a,Dark Elf Village\0	885	1394	768	9344	1024	1024	0.05000000	a,map_dark_elven_village\0	0
108	254	20	18	30000.00000000	-30000.00000000	a,The Shilen Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
109	255	18	20	30000.00000000	-4000.00000000	a,Altar of Rites\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
110	255	18	19	30000.00000000	-30000.00000000	a,School of Dark Arts\0	608	1572	-57500	39808	1024	1024	0.05000000	a,dungeon_map_black_magic_laboratory\0	0
111	254	21	19	30000.00000000	-30000.00000000	a,Shadow of the Mother Tree\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
112	255	21	20	30000.00000000	-30000.00000000	a,Iris Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
113	255	21	19	30000.00000000	-30000.00000000	a,Elven Village\0	1071	1568	39168	42688	1024	1024	0.05000000	a,map_elven_village\0	0
114	255	20	20	-3200.00000000	-4450.00000000	a,Elven Fortress\0	958	1687	8320	68086	1024	1024	0.05000000	a,dungeon_map_elven_underground_fortress\0	0
115	253	21	19	30000.00000000	-30000.00000000	a,Starlight Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
116	255	22	23	30000.00000000	-30000.00000000	a,Field of Silence\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
117	255	22	24	30000.00000000	-30000.00000000	a,Field of Whispers\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
118	255	23	24	30000.00000000	-30000.00000000	a,Heine\0	1391	2436	101504	212608	1024	1024	0.05000000	a,map_heine\0	0
119	255	21	24	30000.00000000	-30000.00000000	a,Devil's Isle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
120	255	23	23	30000.00000000	-30000.00000000	a,Alligator Island\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
121	255	22	25	30000.00000000	-30000.00000000	a,Garden of Eva\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
122	254	23	24	30000.00000000	-30000.00000000	a,Tour Boat Dock\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
123	255	23	25	30000.00000000	-30000.00000000	a,Innadril Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
124	254	21	24	30000.00000000	-30000.00000000	a,Pirate Tunnel\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
125	249	17	21	-3968.00000000	-5056.00000000	a,Oracle of Dawn\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
126	249	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
127	249	18	20	-4064.00000000	-4896.00000000	a,Necropolis of Devotion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
128	249	18	24	-4282.00000000	-5242.00000000	a,Necropolis of Sacrifice\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
129	249	19	18	-4224.00000000	-5056.00000000	a,Catacomb of Dark Omens\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
130	249	19	20	-4496.00000000	-5328.00000000	a,The Patriot's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
131	249	21	21	-4736.00000000	-5568.00000000	a,The Pilgrim's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
132	249	21	22	-4704.00000000	-5536.00000000	a,Catacomb of the Heretic\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
133	249	21	23	-4304.00000000	-5136.00000000	a,Catacomb of the Branded\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
134	249	22	20	-3936.00000000	-5280.00000000	a,Catacomb of the Apostate\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
135	249	22	24	-4762.00000000	-5594.00000000	a,The Saint's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
136	249	23	20	-5352.00000000	-6696.00000000	a,Catacomb of the Forbidden Path\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
137	249	23	22	-4154.00000000	-4986.00000000	a,Necropolis of Martyrdom\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
138	249	23	23	-4762.00000000	-5594.00000000	a,Necropolis of Worship\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
139	249	24	20	-3984.00000000	-5584.00000000	a,Catacomb of the Witch\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
140	249	25	17	-4224.00000000	-5644.00000000	a,The Disciple's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
141	255	16	10	30000.00000000	-30000.00000000	a,GM Consultation Service\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
142	255	18	24	-4282.00000000	-5242.00000000	a,Necropolis of Sacrifice\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
143	253	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
144	249	17	20	30000.00000000	-4220.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
145	250	17	20	-4224.00000000	-5312.00000000	a,Oracle of Dusk\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
146	250	17	20	30000.00000000	-4220.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
147	252	18	22	30000.00000000	-30000.00000000	a,Fellmere Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
148	252	17	22	30000.00000000	-30000.00000000	a,Fellmere Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
149	255	19	24	30000.00000000	-4200.00000000	a,Langk Lizardmen Dwellings\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
150	253	18	24	30000.00000000	-30000.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
151	253	19	24	30000.00000000	-30000.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
152	253	18	23	-3760.00000000	-5632.00000000	a,Forgotten Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
153	254	21	23	30000.00000000	-30000.00000000	a,Tanor Canyon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
154	254	22	22	30000.00000000	-30000.00000000	a,Tanor Canyon\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
155	253	21	23	30000.00000000	-30000.00000000	a,Bee Hive\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
156	254	23	18	30000.00000000	-30000.00000000	a,Ancient Battleground\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
157	249	18	24	30000.00000000	-4200.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
158	249	22	20	30000.00000000	-3900.00000000	a,Oren Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
159	254	22	20	-3936.00000000	-5280.00000000	a,Catacomb of the Apostate\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
160	249	17	21	30000.00000000	-3950.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
161	249	18	20	30000.00000000	-4000.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
162	255	18	20	-4064.00000000	-4896.00000000	a,Necropolis of Devotion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
163	250	18	20	30000.00000000	-4000.00000000	a,Misty Mountains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
164	250	18	20	-4064.00000000	-4896.00000000	a,Necropolis of Devotion\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
165	250	19	20	-4496.00000000	-5328.00000000	a,The Patriot's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
166	249	19	20	30000.00000000	-4480.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
167	250	19	20	30000.00000000	-4480.00000000	a,The Neutral Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
168	249	19	18	30000.00000000	-4220.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
169	249	21	21	30000.00000000	-4700.00000000	a,Partisan's Hideaway\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
170	249	21	22	30000.00000000	-4700.00000000	a,Execution Grounds\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
171	249	21	23	30000.00000000	-4300.00000000	a,Giran Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
172	249	22	24	30000.00000000	-4760.00000000	a,Field of Whispers\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
173	249	23	20	30000.00000000	-5350.00000000	a,Hunters Village\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
174	249	23	22	30000.00000000	-4150.00000000	a,Gorgon Flower Garden\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
175	249	23	23	30000.00000000	-4760.00000000	a,Alligator Island\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
176	249	24	20	30000.00000000	-3980.00000000	a,The Forest of Mirrors\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
177	255	25	17	-4224.00000000	-5644.00000000	a,The Disciple's Necropolis\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
178	255	25	21	30000.00000000	-30000.00000000	a,Antharas' Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
179	254	19	23	30000.00000000	-4400.00000000	a,Wasteland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
180	255	20	14	30000.00000000	29999.00000000	a,_Lyonn Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
181	255	20	20	30000.00000000	-3100.00000000	a,Elven Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
182	254	18	23	30000.00000000	-3700.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
183	255	24	12	30000.00000000	3430.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
184	255	25	12	30000.00000000	4250.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
185	254	25	19	30000.00000000	-5170.00000000	a,The Giant's Cave\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
186	254	19	19	30000.00000000	-30000.00000000	a,Undine Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
187	254	22	18	30000.00000000	-30000.00000000	a,The Gods' Falls\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
188	249	25	17	30000.00000000	-4220.00000000	a,Fields of Massacre\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
189	244	19	13	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
190	244	19	14	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
191	244	19	15	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
192	244	20	13	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
193	244	20	14	30000.00000000	-30000.00000000	a,Immortal Plateau, Northern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
194	245	19	15	30000.00000000	-30000.00000000	a,Immortal Plateau, Southern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
195	245	20	14	30000.00000000	-30000.00000000	a,Immortal Plateau, Southern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
196	245	20	15	30000.00000000	-30000.00000000	a,Immortal Plateau, Southern Region\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
197	243	18	14	30000.00000000	-30000.00000000	a,Valley of Heroes\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
198	243	19	14	30000.00000000	-30000.00000000	a,Valley of Heroes\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
199	243	23	12	30000.00000000	-30000.00000000	a,Frozen Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
200	244	23	11	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
201	244	23	12	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
202	244	24	11	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
203	244	24	12	30000.00000000	-30000.00000000	a,Western Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
204	245	24	11	30000.00000000	-30000.00000000	a,Eastern Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
205	245	24	12	30000.00000000	-30000.00000000	a,Eastern Mining Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
