id	name	str	icon
1080038	Rune of Experience Points	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080039	Rune of Experience Points	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080040	Rune of SP	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080041	Rune of SP	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080042	Rune of SP	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080043	Rune of SP	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080044	Crystal form Rune	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080045	Crystal form Rune	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080046	Crystal form Rune	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080047	Crystal form Rune	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080048	Rune of Feather	a,	br_cashtex.item.br_cash_rune_of_feather_i00
1080049	A Scroll Bundle of Fighter	a,	br_cashtex.item.br_cash_fighter_buff_set_i00
1080050	A Scroll Bundle of Mage	a,	br_cashtex.item.br_cash_mage_buff_set_i00
1080051	Bone Quiver	a,	br_cashtex.item.br_cash_quiver_of_bone_arrows_i00
1080052	Steel Quiver	a,	br_cashtex.item.br_cash_quiver_of_fine_steel_arrows_i00
1080053	Silver Quiver	a,	br_cashtex.item.br_cash_quiver_of_silver_arrows_i00
1080054	Mithril Quiver	a,	br_cashtex.item.br_cash_quiver_of_mithril_arrows_i00
1080055	Quiver of Light	a,	br_cashtex.item.br_cash_quiver_of_shining_arrows_i00
1080056	Bone Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_bone_bolts_i00
1080057	Steel Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_fine_steel_bolts_i00
1080058	Silver Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_silver_bolts_i00
1080059	Mithril Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_mithril_bolts_i00
1080060	Bolt Container of Light	a,	br_cashtex.item.br_cash_quiver_of_shining_bolts_i00
1080061	Blessed Spiritshot Pack - D grade	a,	br_cashtex.item.br_cash_pack_of_blessed_spiritshot_d_i00
1080062	Blessed Spiritshot Pack - C grade	a,	br_cashtex.item.br_cash_pack_of_blessed_spiritshot_c_i00
1080063	Blessed Spiritshot Pack - B grade	a,	br_cashtex.item.br_cash_pack_of_blessed_spiritshot_b_i00
1080064	Blessed Spiritshot Pack - A grade	a,	br_cashtex.item.br_cash_pack_of_blessed_spiritshot_a_i00
1080065	Blessed Spiritshot Pack - S grade	a,	br_cashtex.item.br_cash_pack_of_blessed_spiritshot_s_i00
1080066	Spiritshot Pack - D grade	a,	br_cashtex.item.br_cash_pack_of_spiritshot_d_i00
1080067	Spiritshot Pack - C grade	a,	br_cashtex.item.br_cash_pack_of_spiritshot_c_i00
1080068	Spiritshot Pack -  B grade	a,	br_cashtex.item.br_cash_pack_of_spiritshot_b_i00
1080069	Spiritshot Pack - A grade	a,	br_cashtex.item.br_cash_pack_of_spiritshot_a_i00
1080070	Spiritshot Pack - S grade	a,	br_cashtex.item.br_cash_pack_of_spiritshot_s_i00
1080071	Soulshot Pack - D grade	a,	br_cashtex.item.br_cash_pack_of_soulshot_d_i00
1080072	Soulshot Pack - C grade	a,	br_cashtex.item.br_cash_pack_of_soulshot_c_i00
1080073	Soulshot Pack -  B grade	a,	br_cashtex.item.br_cash_pack_of_soulshot_b_i00
1080074	Soulshot Pack - A grade	a,	br_cashtex.item.br_cash_pack_of_soulshot_a_i00
1080075	Soulshot Pack - S grade	a,	br_cashtex.item.br_cash_pack_of_soulshot_s_i00
1080076	Blessed Spiritshot Large Pack - D grade	a,	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_d_i00
1080077	Blessed Spiritshot Large Pack - C grade	a,	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_c_i00
1080078	Blessed Spiritshot Large Pack - B grade	a,	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_b_i00
1080079	Blessed Spiritshot Large Pack - A grade	a,	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_a_i00
1080080	Blessed Spiritshot Large Pack - S grade	a,	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_s_i00
1080081	Spiritshot Large Pack - D grade	a,	br_cashtex.item.br_cash_large_pack_of_spiritshot_d_i00
1080082	Spiritshot Large Pack - C grade	a,	br_cashtex.item.br_cash_large_pack_of_spiritshot_c_i00
1080083	Spiritshot Large Pack -  B grade	a,	br_cashtex.item.br_cash_large_pack_of_spiritshot_b_i00
1080084	Spiritshot Large Pack - A grade	a,	br_cashtex.item.br_cash_large_pack_of_spiritshot_a_i00
1080085	Spiritshot Large Pack - S grade	a,	br_cashtex.item.br_cash_large_pack_of_spiritshot_s_i00
1080086	Soulshot Large Pack - D grade	a,	br_cashtex.item.br_cash_large_pack_of_soulshot_d_i00
1080087	Soulshot Large Pack - C grade	a,	br_cashtex.item.br_cash_large_pack_of_soulshot_c_i00
1080088	Soulshot Large Pack -  B grade	a,	br_cashtex.item.br_cash_large_pack_of_soulshot_b_i00
1080089	Soulshot Large Pack - A grade	a,	br_cashtex.item.br_cash_large_pack_of_soulshot_a_i00
1080090	Soulshot Large Pack - S grade	a,	br_cashtex.item.br_cash_large_pack_of_soulshot_s_i00
1080091	Wrapped daisy hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080092	Wrapped forget-me-not hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080093	Wrapped outlaw's eyepatch	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080094	Wrapped pirate's eyepatch	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080095	Wrapped Monocle	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080096	Wrapped Red Mask of Victory	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080097	Wrapped Red Horn of Victory	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080098	Wrapped Party Mask	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080099	Wrapped Red Party Mask	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080100	Wrapped Cat Ear	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080101	Wrapped Noblewoman's Hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080102	Wrapped Raccoon Ear	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080103	Wrapped Rabbit Ear	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080104	Wrapped Little Angel's Wings	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080105	Wrapped Fairy's Tentacle	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080106	Wrapped Dandy's Chapeau	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080107	Wrapped Artisan's Goggles	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1080108	Wrapped Pet Exchange Ticket - Buffalo	a,	br_cashtex.item.br_cash_wrapped_pet_i00
1080109	Wrapped Pet Exchange Ticket - Cougar	a,	br_cashtex.item.br_cash_wrapped_pet_i00
1080110	Wrapped Pet Exchange Ticket - kookaburra	a,	br_cashtex.item.br_cash_wrapped_pet_i00
1080111	Blessed Wolf Hat Package	a,A wolf hat with a special function is acquired. Shadow Item\0	br_cashtex.item.br_cash_wrapped_accessary_i00
1080112	Rune of Exp. Points 30% - 5 hours	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080113	Rune of Exp. Points 50% - 5 hours	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080114	Rune of Exp. Points 30% - 10 hours	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080115	Rune of Exp. Points 50% - 10 hours	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080116	Rune of Exp. Points 30% - 7 days	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080117	Rune of Exp. Points 50% - 7 days	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080118	Rune of SP 30% - 5 hours	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080119	Rune of SP 50% - 5 hours	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080120	Rune of SP 30% - 10 hours	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080121	Rune of SP 50% - 10 hours	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080122	Rune of SP 30% - 7 days	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080123	Rune of SP 50% - 7 days	a,	br_cashtex.item.br_cash_rune_of_sp_i00
1080124	Rune of Crystal level 3 - 5 hours	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080125	Rune of Crystal level 5 - 5 hours	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080126	Rune of Crystal level 3 - 10 hours	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080127	Rune of Crystal level 5 - 10 hours	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080128	Rune of Crystal level 3 - 7 days	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080129	Rune of Crystal level 5 - 7 days	a,	br_cashtex.item.br_cash_rune_of_rp_i00
1080130	Weapon-type Enhance Backup Stone (D-Grade) 	a,	icon.ench_wp_stone_i00
1080131	Weapon-type Enhance Backup Stone (C-Grade) 	a,	icon.ench_wp_stone_i01
1080132	Weapon-type Enhance Backup Stone (B-Grade) 	a,	icon.ench_wp_stone_i02
1080133	Weapon-type Enhance Backup Stone (A-Grade) 	a,	icon.ench_wp_stone_i03
1080134	Weapon-type Enhance Backup Stone (S-Grade) 	a,	icon.ench_wp_stone_i04
1080135	Armor-type Enhance Backup Stone (D-Grade) 	a,	icon.ench_am_stone_i00
1080136	Armor-type Enhance Backup Stone (C-Grade) 	a,	icon.ench_am_stone_i01
1080137	Armor-type Enhance Backup Stone (B-Grade) 	a,	icon.ench_am_stone_i02
1080138	Armor-type Enhance Backup Stone (A-Grade) 	a,	icon.ench_am_stone_i03
1080139	Armor-type Enhance Backup Stone (S-Grade) 	a,	icon.ench_am_stone_i04
1080140	Beast Soulshot Pack	a,	BranchSys.icon.br_box_beast_soul_shot_i00
1080141	Beast Spiritshot Pack	a,	BranchSys.icon.br_box_beast_spirit_shot_i00
1080142	Blessed Beast Spiritshot Pack	a,	BranchSys.icon.br_box_blessed_beast_spirit_shot_i00
1080143	Beast Soulshot Large Pack	a,	BranchSys.icon.br_box_beast_soul_shot_i00
1080144	Beast Spiritshot Large Pack	a,	BranchSys.icon.br_box_beast_spirit_shot_i00
1080145	Blessed Beast Spiritshot Large Pack	a,	BranchSys.icon.br_box_blessed_beast_spirit_shot_i00
1080146	Omen Beast Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080147	Death Blader Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080148	Grail Apostle Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080149	Unicorn Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080150	Lilim Knight Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080151	Golem Guardian Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080152	Inferno Drake Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080153	Dragon Bomber Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1080154	Escape - Talking Island Village	a,	BranchSys.icon.br_escape_scroll_i00
1080155	Escape - Elven Village	a,	BranchSys.icon.br_escape_scroll_i00
1080156	Escape - Dark Elven Village	a,	BranchSys.icon.br_escape_scroll_i00
1080157	Escape - Orc Village	a,	BranchSys.icon.br_escape_scroll_i00
1080158	Escape - Dwarven Village	a,	BranchSys.icon.br_escape_scroll_i00
1080159	Escape - Gludin Village	a,	BranchSys.icon.br_escape_scroll_i00
1080160	Escape - Town of Gludio	a,	BranchSys.icon.br_escape_scroll_i00
1080161	Escape - Town of Dion	a,	BranchSys.icon.br_escape_scroll_i00
1080162	Escape - Floran Village	a,	BranchSys.icon.br_escape_scroll_i00
1080163	Escape - Giran Castle Town	a,	BranchSys.icon.br_escape_scroll_i00
1080164	Escape - Hardin's Academy	a,	BranchSys.icon.br_escape_scroll_i00
1080165	Escape - Heine	a,	BranchSys.icon.br_escape_scroll_i00
1080166	Escape - Town of Oren	a,	BranchSys.icon.br_escape_scroll_i00
1080167	Escape - Ivory Tower	a,	BranchSys.icon.br_escape_scroll_i00
1080168	Escape - Hunters Village	a,	BranchSys.icon.br_escape_scroll_i00
1080169	Escape - Town of Aden	a,	BranchSys.icon.br_escape_scroll_i00
1080170	Escape - Town of Goddard	a,	BranchSys.icon.br_escape_scroll_i00
1080171	Escape - Rune Township	a,	BranchSys.icon.br_escape_scroll_i00
1080172	Escape - Town of Schuttgart	a,	BranchSys.icon.br_escape_scroll_i00
1080173	Free Teleport Scroll	a,	icon.bookmark_book_i00
1080174	Free Teleport Spellbook 5 Sheet Bundle	a,	icon.bookmark_scroll_i00
1080175	Free Teleport Spellbook 10 Sheet Bundle	a,	icon.bookmark_scroll_i00
1080176	Free Teleport Flag 5 Sheet Bundle	a,	BranchSys.icon.br_flag_of_bookmark_i00
1080177	Free Teleport Flag 10 Sheet Bundle	a,	BranchSys.icon.br_flag_of_bookmark_i00
1080178	Extra Entrance Pass - Kamaloka (Hall of the Abyss) 5 Sheet Bundle	a,	icon.ticket_i00
1080179	Extra Entrance Pass - Kamaloka (Hall of the Abyss) 10 Sheet Bundle	a,	icon.ticket_i00
1080180	Extra Entrance Pass - Near Kamaloka 5 Sheet Bundle	a,	icon.ticket_i00
1080181	Extra Entrance Pass - Near Kamaloka 10 Sheet Bundle	a,	icon.ticket_i00
1080182	Extra Entrance Pass - Kamaloka (Labyrinth of the Abyss) 5 Sheet Bundle	a,	icon.ticket_i00
1080183	Extra Entrance Pass - Kamaloka (Labyrinth of the Abyss) 10 Sheet Bundle	a,	icon.ticket_i00
1080184	Feather of Blessing	a,	icon.blessed_feather_i00
1080185	Color Name	a,	icon.color_name_i00
1080186	High Grade Potion of Will	a,	BranchSys.icon.br_cp_potion_i01
1080187	Secret medicine of Will - D grade	a,	br_cashtex.item.br_cash_elixir_of_combative_d_i00
1080188	Secret medicine of Will - C grade	a,	br_cashtex.item.br_cash_elixir_of_combative_c_i00
1080189	Secret medicine of Will - B grade	a,	br_cashtex.item.br_cash_elixir_of_combative_b_i00
1080190	Secret medicine of Will - A grade	a,	br_cashtex.item.br_cash_elixir_of_combative_a_i00
1080191	Secret medicine of Will - S grade	a,	br_cashtex.item.br_cash_elixir_of_combative_s_i00
1080192	Secret medicine of Life - D grade	a,	br_cashtex.item.br_cash_elixir_of_life_d_i00
1080193	Secret medicine of Life - C grade	a,	br_cashtex.item.br_cash_elixir_of_life_c_i00
1080194	Secret medicine of Life - B grade	a,	br_cashtex.item.br_cash_elixir_of_life_b_i00
1080195	Secret medicine of Life - A grade	a,	br_cashtex.item.br_cash_elixir_of_life_a_i00
1080196	Secret medicine of Life - S grade	a,	br_cashtex.item.br_cash_elixir_of_life_s_i00
1080197	Potion of Energy Maintenance	a,	BranchSys.icon.br_vitality_potion_i00
1080198	Potion of Energy Replenishing	a,	BranchSys.icon.br_vitality_potion_i01
1080199	Sweet Fruit Cocktail	a,	BranchSys.icon.br_fruit_cocktail_i00
1080200	Fresh Fruit Cocktail	a,	BranchSys.icon.br_fruit_cocktail_i01
1080201	Sudden Agathion 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080202	Shiny Agathion 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080203	Sobbing Agathion 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080204	Agathion of Love 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080205	Pumpkin Transformation Stick 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080206	Kat the Cat Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080207	Feline Queen Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080208	Monster Eye Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080209	Brown Bear Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080210	Fungus Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080211	Skull Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080212	Ornithomimus Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080213	Feline King Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080214	Kai the Cat Hat 7 Day Pack	a,	icon.etc_pi_gift_box_i02
1080215	Goggle Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1080216	Napoleon Hat Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1080217	Black Gem Mask Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1080218	Afro Hair Pack - Gold	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1080219	Afro Hair Pack - Pink	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1080220	Horn Rimmed Glasses Pack	a,	icon.etc_pi_gift_box_i00
1080221	Afro Hair Pack 	a,	icon.etc_pi_gift_box_i00
1080222	Afro Hair Pack - Big Head, Firework	a,	icon.etc_pi_gift_box_i00
1080223	Afro Hair Pack - Wind Walk	a,	icon.etc_pi_gift_box_i00
1080224	Uniform Hat Pack	a,	icon.etc_pi_gift_box_i00
1080225	Assassin's Bamboo Hat Pack	a,	icon.etc_pi_gift_box_i00
1080226	Ruthless Tribe Mask Pack	a,	icon.etc_pi_gift_box_i00
1080227	Ribbon Hairband Pack	a,	icon.etc_pi_gift_box_i00
1080228	Visor Pack	a,	icon.etc_pi_gift_box_i00
1080229	Hunting Helper Exchange Coupon - 1 sheet	a,	icon.etc_ticket_red_i00
1080230	Hunting Helper Exchange Coupon - 3 sheet	a,	icon.etc_ticket_red_i00
1080231	High Quality Hunting Helper Exchange Coupon - 1 sheet	a,	icon.etc_ticket_red_i00
1080232	High Quality Hunting Helper Exchange Coupon - 3 sheet	a,	icon.etc_ticket_red_i00
1080233	Steam Beatle Mounting Bracelet 7 Day Pack	a,	icon.etc_pi_gift_box_i00
1080234	Light Purple Maned Horse Bracelet 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1080235	Golden Jack O'Lantern Mask 7 Day Pack	a,Authority of Golden Jack O'Lantern - Increase max HP 40%, max MP 40%, max CP 40%, Physical Def. 30%, Magic Def. 30%, Spd. 30% of party members for 10 minutes. \0	BranchSys.icon.br_four_leaf_clover_box_i00
1030001	Free Teleport Scroll	a,	icon.bookmark_book_i00
1030002	Free Teleport Flag 	a,	BranchSys.icon.br_flag_of_bookmark_i00
1030003	Free Teleport Spellbook 10 Sheet	a,	icon.bookmark_scroll_i00
1030004	Hunting Helper Exchange Coupon	a,	icon.etc_ticket_red_i00
1030005	High Quality Hunting Helper Exchange Coupon	a,	icon.etc_ticket_red_i00
1030006	Extra Entrance Pass - Kamaloka (Hall of the Abyss) 	a,	icon.ticket_i00
1030007	Extra Entrance Pass - Kamaloka (Labyrinth of the Abyss) 	a,	icon.ticket_i00
1030008	Potion of Energy Maintenance	a,	BranchSys.icon.br_vitality_potion_i00
1030009	Energy Replenishing Beverage	a,	icon.etc_potion_of_energy_i00
1030010	Rune of SP 30% 5 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030011	Rune of Feathers 24 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030012	Feather of Blessing	a,	icon.blessed_feather_i00
1030013	A Scroll Bundle of Fighter	a,	br_cashtex.item.br_cash_fighter_buff_set_i00
1030014	A Scroll Bundle of Mage	a,	br_cashtex.item.br_cash_mage_buff_set_i00
1030015	Omen Beast Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030016	Death Blader Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030017	Grail Apostle Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030018	Unicorn Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030019	Lilim Knight Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030020	Golem Guardian Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030021	Inferno Drake Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030022	Dragon Bomber Transformation Scroll	a,	BranchSys.icon.br_scroll_of_transformation_i00
1030023	Feline Queen Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1030024	Feline King Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1030025	Monster Eye Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1030026	Brown Bear Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1030027	Fungus Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1030028	Agathion of Love 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1030029	Wonboso Agathion 7-Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030030	Daewoonso Agathion 7-Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030031	Gold Crown Majo Agathion 7 Day Pack	a,Resurrection\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030032	Color Name	a,	icon.color_name_i00
1030033	Rune of Crystal level-3 10 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030034	Rune of SP 50% 5 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030035	Little Angel's Wings 7 Day Pack	a,Mana regeneration\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030036	Fairy's Tentacle 7 Day Pack	a,Reflect damage\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030037	Visor 7 Day Pack	a,Mana regeneration\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030038	Afro Hair Pack - Gold	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030039	Afro Hair Pack - Pink	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030040	Afro Hair Pack	a,	icon.etc_pi_gift_box_i00
1030041	Snow Kung Transformation Stick 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1030042	Steam Beatle Mounting Bracelet Pack	a,	icon.etc_pi_gift_box_i00
1030043	Light Purple Maned Horse Bracelet Pack	a,	icon.etc_pi_gift_box_i00
1030044	Ribbon Hairband Pack	a,	icon.etc_pi_gift_box_i00
1030045	Horn Rimmed Glasses Pack	a,	icon.etc_pi_gift_box_i00
1030046	Skull Hat Pack	a,	icon.etc_pi_gift_box_i00
1030047	Kat the Cat Hat Pack	a,	icon.etc_pi_gift_box_i00
1030048	Haste Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1030049	Empower Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1030050	Grater Acumen Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1030051	Vampiric Rage Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1030052	Clarity Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1030053	Free Teleport Flag 11 Sheet	a,	BranchSys.icon.br_flag_of_bookmark_i00
1030054	Free Teleport Spellbook 110 Sheet	a,	icon.bookmark_scroll_i00
1030055	Hunting Helper Exchange Coupon - 5 hours 10 sheet	a,	icon.etc_ticket_red_i00
1030056	High-grade Hunting Helper Exchange Coupon - 5 hours 10 sheet	a,	icon.etc_ticket_red_i00
1030057	Extra Entrance Pass - Kamaloka (Hall of the Abyss) 50 Sheet	a,	icon.ticket_i00
1030058	Extra Entrance Pass - Kamaloka (Labyrinth of the Abyss) 50 Sheet	a,	icon.ticket_i00
1030059	Potion of Energy Maintenance 10 Units	a,	BranchSys.icon.br_vitality_potion_i00
1030060	Energy Replenishing Beverage 20-Unit	a,	icon.etc_potion_of_energy_i00
1030061	Fighter's Scroll Bundle 30 Sheet	a,	br_cashtex.item.br_cash_fighter_buff_set_i00
1030062	Mage's Scroll Bundle 30 Sheet	a,	br_cashtex.item.br_cash_mage_buff_set_i00
1030063	Feather of Blessing 20 Units	a,	icon.blessed_feather_i00
1030064	Twilight Staff 7 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030065	Anniversary Hat 7 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030066	Immortal Steam Beatle Mount Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
