id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	extra	affiliated_area_id	name
59	1	19	0	-50174.00000000	129303.00000000	-2912.00000000	a,	30	a,Ruins of Agony Bend\0
60	1	14	0	-6989.00000000	109503.00000000	-3040.00000000	a,	30	a,Evil Hunting Grounds\0
61	1	19	0	-36652.00000000	135591.00000000	-3160.00000000	a,	30	a,Entrance to the Ruins of Despair\0
62	1	22	0	-28327.00000000	155125.00000000	-3496.00000000	a,	30	a,Windawood Manor\0
63	1	22	0	-6661.00000000	201880.00000000	-3632.00000000	a,	30	a,Ol Mahum Checkpoint\0
64	2	36	0	-26489.00000000	195307.00000000	-3928.00000000	a,	30	a,Ant Incubator\0
65	7	0	0	-111728.00000000	244330.00000000	-3448.00000000	a,	30	a,Singing Waterfall\0
66	1	15	0	-10612.00000000	75881.00000000	-3592.00000000	a,	30	a,The Neutral Zone\0
67	0	0	0	0.00000000	0.00000000	0.00000000	a,	67	a,Oren Territory\0
68	1	8	0	21362.00000000	51122.00000000	-3688.00000000	a,	67	a,Elven Forest\0
69	1	1	0	50953.00000000	42105.00000000	-3480.00000000	a,	67	a,Shadow of the Mother Tree\0
70	3	0	0	46951.00000000	51550.00000000	-2976.00000000	a,	67	a,Elven Village\0
71	2	10	0	29294.00000000	74968.00000000	-3776.00000000	a,	67	a,Elven Fortress\0
72	7	0	0	51469.00000000	82600.00000000	-3312.00000000	a,	67	a,Iris Lake\0
73	1	8	0	-22224.00000000	14168.00000000	-3232.00000000	a,	67	a,The Dark Forest\0
74	3	0	0	25934.00000000	11037.00000000	-3720.00000000	a,	67	a,The Shilen Temple\0
75	3	0	0	9709.00000000	15566.00000000	-4500.00000000	a,	67	a,Dark Elf Village\0
76	2	10	0	-47543.00000000	58478.00000000	-3336.00000000	a,	67	a,School of Dark Arts\0
77	1	13	0	-21966.00000000	40544.00000000	-3192.00000000	a,	67	a,Swampland\0
78	7	0	0	-44566.00000000	77508.00000000	-3736.00000000	a,	67	a,Altar of Rites\0
79	1	40	0	64328.00000000	26803.00000000	-3768.00000000	a,	67	a,Sea of Spores\0
80	5	0	0	87091.00000000	-20354.00000000	-2072.00000000	a,	67	a,Bandit Stronghold\0
81	3	0	0	85391.00000000	16228.00000000	-3640.00000000	a,	67	a,Ivory Tower\0
82	3	0	0	82971.00000000	53207.00000000	-1470.00000000	a,	67	a,Town of Oren\0
83	3	0	0	78189.00000000	36936.00000000	-2560.00000000	a,	67	a,Oren Castle\0
84	1	83	0	87252.00000000	85514.00000000	-3103.00000000	a,	67	a,Plains of the Lizardmen\0
85	1	83	0	84517.00000000	62538.00000000	-3480.00000000	a,	67	a,Sel Mahum Training Grounds\0
86	1	1	0	23863.00000000	11068.00000000	-3720.00000000	a,	67	a,Shilen's Garden\0
87	1	13	0	-29466.00000000	66678.00000000	-3496.00000000	a,	67	a,Black Rock Hill\0
88	1	16	0	-61095.00000000	75104.00000000	-3383.00000000	a,	67	a,Spider Nest\0
89	1	40	0	67097.00000000	68815.00000000	-3648.00000000	a,	67	a,Timak Outpost \0
90	1	40	0	85391.00000000	16228.00000000	-3640.00000000	a,	67	a,Ivory Tower Crater\0
91	1	45	0	93218.00000000	16969.00000000	-3904.00000000	a,	67	a,Forest of Evil\0
92	1	50	0	91539.00000000	-12204.00000000	-2440.00000000	a,	67	a,Outlaw Forest\0
93	7	0	0	61740.00000000	94946.00000000	-1488.00000000	a,	67	a,Misty Mountains\0
94	7	0	0	58502.00000000	53453.00000000	-3624.00000000	a,	67	a,Starlight Waterfall\0
95	7	0	0	-7233.00000000	57006.00000000	-3520.00000000	a,	67	a,Undine Waterfall\0
96	7	0	0	70456.00000000	6591.00000000	-3632.00000000	a,	67	a,The Gods' Falls\0
97	0	0	0	0.00000000	0.00000000	0.00000000	a,	97	a,Aden Territory\0
98	2	60	0	114649.00000000	11115.00000000	-5120.00000000	a,	97	a,Tower of Insolence\0
99	1	65	0	155310.00000000	-16339.00000000	-3320.00000000	a,	97	a,Blazing Swamp\0
100	5	0	0	178358.00000000	-14192.00000000	-2256.00000000	a,	97	a,Devastated Castle\0
101	1	60	0	188611.00000000	20588.00000000	-3696.00000000	a,	97	a,The Forbidden Gateway\0
102	2	80	0	181737.00000000	46469.00000000	-4276.00000000	a,	97	a,The Giant's Cave\0
103	1	45	0	124904.00000000	61992.00000000	-3973.00000000	a,	97	a,The Enchanted Valley\0
104	1	50	0	167047.00000000	20304.00000000	-3328.00000000	a,	97	a,The Cemetery\0
105	1	40	0	142065.00000000	81300.00000000	-3000.00000000	a,	97	a,The Forest of Mirrors\0
106	7	0	0	166182.00000000	91560.00000000	-3168.00000000	a,	97	a,Anghel Waterfall\0
107	3	0	0	146783.00000000	25808.00000000	-2000.00000000	a,	97	a,Town of Aden\0
108	3	0	0	117088.00000000	76931.00000000	-2670.00000000	a,	97	a,Hunters Village\0
109	7	0	0	158141.00000000	-24543.00000000	-1288.00000000	a,	97	a,Eastern Border Outpost\0
110	6	0	0	146440.00000000	46723.00000000	-3400.00000000	a,	97	a,Coliseum\0
111	7	0	0	146440.00000000	46723.00000000	-3400.00000000	a,	97	a,Narsell Lake\0
112	3	0	0	147461.00000000	9898.00000000	-592.00000000	a,	97	a,Aden Castle\0
113	1	64	0	106517.00000000	-2871.00000000	-3454.00000000	a,	97	a,Ancient Battleground\0
114	1	55	0	168217.00000000	37990.00000000	-4072.00000000	a,	97	a,Forsaken Plains \0
115	1	74	0	170838.00000000	55776.00000000	-5280.00000000	a,	97	a,Silent Valley\0
116	1	40	0	114306.00000000	86573.00000000	-3112.00000000	a,	97	a,Hunters Valley\0
117	1	45	0	135580.00000000	19467.00000000	-3424.00000000	a,	97	a,Plains of Glory\0
118	1	55	0	183543.00000000	-14974.00000000	-2768.00000000	a,	97	a,Fields of Massacre\0
119	1	45	0	156898.00000000	11217.00000000	-4032.00000000	a,	97	a,War-Torn Plains\0
120	7	0	0	112405.00000000	-16607.00000000	-1864.00000000	a,	97	a,Western Border Outpost\0
121	0	0	0	0.00000000	0.00000000	0.00000000	a,	121	a,Innadril Territory\0
122	1	83	0	91088.00000000	182384.00000000	-3192.00000000	a,	121	a,Field of Silence\0
123	1	83	0	74592.00000000	207656.00000000	-3032.00000000	a,	121	a,Field of Whispers\0
124	2	40	0	84413.00000000	234334.00000000	-3656.00000000	a,	121	a,Garden of Eva\0
125	1	40	0	115583.00000000	192261.00000000	-3488.00000000	a,	121	a,Alligator Island\0
126	3	0	0	111455.00000000	219400.00000000	-3546.00000000	a,	121	a,Heine\0
127	3	0	0	115988.00000000	246899.00000000	-976.00000000	a,	121	a,Innadril Castle\0
128	1	38	0	116267.00000000	201177.00000000	-3432.00000000	a,	121	a,Alligator Beach\0
129	6	0	0	12443.00000000	183467.00000000	-3560.00000000	a,	1	a,Dion Arena\0
130	3	0	0	-55699.00000000	-114967.00000000	2528.00000000	a,	138	a,The Pa'agrio Temple\0
131	3	0	0	-45158.00000000	-112583.00000000	-236.00000000	a,	138	a,Orc Village\0
132	7	0	0	-8830.00000000	-119289.00000000	424.00000000	a,	138	a,The Immortal Plateau\0
133	2	10	0	9340.00000000	-112509.00000000	-2536.00000000	a,	138	a,Cave of Trials\0
134	7	0	0	8652.00000000	-139941.00000000	-1144.00000000	a,	138	a,Frozen Waterfalls\0
135	1	1	0	-39347.00000000	-107274.00000000	-2072.00000000	a,	138	a,Valley of Heroes\0
136	1	8	0	-10983.00000000	-117484.00000000	-2464.00000000	a,	138	a,Immortal Plateau, Northern Region\0
137	1	18	0	-4190.00000000	-80040.00000000	-2696.00000000	a,	138	a,Immortal Plateau, Southern Region\0
138	0	0	0	0.00000000	0.00000000	0.00000000	a,	138	a,Schuttgart Territory\0
139	7	0	0	106561.00000000	-173949.00000000	-400.00000000	a,	138	a,Strip Mine\0
140	3	0	0	115120.00000000	-178224.00000000	-917.00000000	a,	138	a,Dwarven Village\0
141	7	0	0	147493.00000000	-200840.00000000	192.00000000	a,	138	a,Spine Mountains\0
142	2	10	0	139714.00000000	-177456.00000000	-1536.00000000	a,	138	a,Abandoned Coal Mines\0
143	2	81	0	171946.00000000	-173352.00000000	3440.00000000	a,	138	a,Mithril Mines\0
144	1	1	0	112971.00000000	-174924.00000000	-608.00000000	a,	138	a,Frozen Valley\0
145	1	8	0	128527.00000000	-204036.00000000	-3408.00000000	a,	138	a,Western Mining Zone\0
146	1	18	0	175836.00000000	-205837.00000000	-3384.00000000	a,	138	a,Eastern Mining Zone\0
147	7	0	0	113826.00000000	-171150.00000000	-160.00000000	a,	138	a,Mining Zone Passage\0
148	1	30	0	111965.00000000	-154172.00000000	-1528.00000000	a,	138	a,Plunderous Plains\0
149	1	53	0	113903.00000000	-108752.00000000	-884.00000000	a,	138	a,Frozen Labyrinth\0
150	1	57	0	102728.00000000	-126242.00000000	-2840.00000000	a,	138	a,Freya's Garden\0
151	1	73	0	91280.00000000	-117152.00000000	-3952.00000000	a,	138	a,Pavel Ruins\0
152	7	0	0	76021.00000000	-110477.00000000	-1704.00000000	a,	138	a,Caron's Dungeon\0
153	1	81	0	68693.00000000	-110438.00000000	-1946.00000000	a,	138	a,Den of Evil\0
154	1	80	0	47692.00000000	-115745.00000000	-3744.00000000	a,	138	a,Crypts of Disgrace\0
155	7	0	0	32173.00000000	-122954.00000000	-792.00000000	a,	138	a,Valley of the Lords\0
156	3	0	0	77630.00000000	-150885.00000000	368.00000000	a,	138	a,Schuttgart Castle\0
157	3	0	0	87056.00000000	-143472.00000000	-1296.00000000	a,	138	a,Town of Schuttgart\0
158	2	72	0	90418.00000000	-107317.00000000	-3328.00000000	a,	138	a,Archaic Laboratory\0
159	7	0	0	107577.00000000	-122392.00000000	-3632.00000000	a,	138	a,Frost Lake\0
160	1	39	0	121618.00000000	-141554.00000000	-1496.00000000	a,	138	a,Sky Wagon Relic\0
161	2	21	0	-41184.00000000	206752.00000000	-3357.00000000	a,	30	a,Necropolis of Sacrifice\0
162	2	60	0	-56064.00000000	78720.00000000	-3011.00000000	a,	67	a,Necropolis of Devotion\0
163	2	52	0	-25472.00000000	77728.00000000	-3446.00000000	a,	30	a,The Patriot's Necropolis\0
164	2	72	0	-22480.00000000	13872.00000000	-3174.00000000	a,	67	a,Catacomb of Dark Omens\0
165	2	42	0	43200.00000000	170688.00000000	-3251.00000000	a,	16	a,Catacomb of the Branded\0
166	2	30	0	39232.00000000	143568.00000000	-3651.00000000	a,	1	a,Catacomb of the Heretic\0
167	2	32	0	45600.00000000	126944.00000000	-3686.00000000	a,	1	a,The Pilgrim's Necropolis\0
168	2	70	0	79296.00000000	209584.00000000	-3709.00000000	a,	121	a,The Saint's Necropolis\0
169	2	42	0	107514.00000000	174329.00000000	-3704.00000000	a,	121	a,Necropolis of Worship\0
170	2	65	0	114496.00000000	132416.00000000	-3101.00000000	a,	16	a,Necropolis of Martyrdom\0
171	2	51	0	74672.00000000	78032.00000000	-3398.00000000	a,	67	a,Catacomb of the Apostate\0
172	2	72	0	110912.00000000	84912.00000000	-4816.00000000	a,	97	a,Catacomb of the Forbidden Path\0
173	2	60	0	136672.00000000	79328.00000000	-3702.00000000	a,	97	a,Catacomb of the Witch\0
174	2	70	0	168560.00000000	-17968.00000000	-3174.00000000	a,	97	a,The Disciple's Necropolis\0
175	2	0	0	-79184.00000000	111952.00000000	-4897.00000000	a,	179	a,Oracle of Dawn\0
176	2	0	0	-80208.00000000	87120.00000000	-5153.00000000	a,	179	a,Oracle of Dusk\0
177	2	30	0	0.00000000	0.00000000	0.00000000	a,	179	a,Dimensional Rift\0
178	6	0	0	-21453.00000000	-21058.00000000	-3024.00000000	a,	179	a,Olympiad Stadium\0
179	0	0	0	0.00000000	0.00000000	0.00000000	a,	179	a,Border\0
180	0	0	0	0.00000000	0.00000000	0.00000000	a,	180	a,Goddard Territory\0
181	3	0	0	148024.00000000	-55281.00000000	-2728.00000000	a,	180	a,Town of Goddard\0
182	3	0	0	147450.00000000	-47331.00000000	-496.00000000	a,	180	a,Goddard Castle\0
183	1	67	0	132997.00000000	-60608.00000000	-2960.00000000	a,	180	a,Garden of Beasts\0
184	1	73	0	144880.00000000	-113468.00000000	-2560.00000000	a,	180	a,Hot Springs\0
185	5	0	0	139997.00000000	-124860.00000000	-1896.00000000	a,	180	a,Rainbow Springs Chateau\0
186	2	78	0	168902.00000000	-116703.00000000	-2417.00000000	a,	180	a,Forge of the Gods\0
187	2	80	0	189964.00000000	-116820.00000000	-1624.00000000	a,	180	a,Hall of Flames\0
188	2	85	0	215378.00000000	-116635.00000000	-1608.00000000	a,	180	a,Valakas' Lair\0
189	1	77	0	146990.00000000	-67128.00000000	-3640.00000000	a,	180	a,Ketra Orc Outpost\0
190	3	0	0	149548.00000000	-82014.00000000	-5592.00000000	a,	180	a,Ketra Orc Village\0
191	2	76	0	186699.00000000	-75915.00000000	-2826.00000000	a,	180	a,Imperial Tomb\0
192	7	0	0	168982.00000000	-86455.00000000	-3007.00000000	a,	180	a,Pilgrim's Temple\0
193	1	68	0	165054.00000000	-47861.00000000	-3560.00000000	a,	180	a,Wall of Argos\0
194	1	73	0	190112.00000000	-61776.00000000	-2944.00000000	a,	180	a,Shrine of Loyalty\0
195	1	77	0	125740.00000000	-40864.00000000	-3736.00000000	a,	180	a,Varka Silenos Barracks\0
196	3	0	0	108155.00000000	-53670.00000000	-2472.00000000	a,	180	a,Varka Silenos Village\0
197	2	83	0	178127.00000000	-84435.00000000	-7215.00000000	a,	180	a,Four Sepulchers\0
198	1	60	0	106349.00000000	-61870.00000000	-2904.00000000	a,	180	a,Devil's Pass\0
199	2	80	0	174141.00000000	-88685.00000000	-5112.00000000	a,	180	a,The Last Imperial Tomb\0
200	0	0	0	0.00000000	0.00000000	0.00000000	a,	200	a,Rune Territory\0
201	3	0	0	43835.00000000	-47749.00000000	-792.00000000	a,	200	a,Rune Township\0
202	3	0	0	14659.00000000	-49230.00000000	-160.00000000	a,	200	a,Rune Castle\0
203	4	0	0	36839.00000000	-38435.00000000	-3640.00000000	a,	200	a,Rune Harbor\0
204	7	0	0	40723.00000000	-94881.00000000	-2096.00000000	a,	200	a,Windtail Waterfall\0
205	1	83	0	43805.00000000	-88010.00000000	-2780.00000000	a,	200	a,Beast Farm\0
206	5	0	0	55133.00000000	-93217.00000000	-1360.00000000	a,	200	a,Wild Beast Reserve\0
207	1	60	0	65797.00000000	-71510.00000000	-3744.00000000	a,	200	a,Valley of Saints\0
208	1	63	0	52107.00000000	-54328.00000000	-3158.00000000	a,	200	a,Forest of the Dead\0
209	3	0	0	57670.00000000	-41672.00000000	-3154.00000000	a,	200	a,Cursed Village\0
210	5	0	0	57966.00000000	-28378.00000000	584.00000000	a,	200	a,Fortress of the Dead\0
211	1	66	0	69340.00000000	-50203.00000000	-3314.00000000	a,	200	a,Swamp of Screams\0
212	2	80	0	106414.00000000	-87799.00000000	-2949.00000000	a,	200	a,Monastery of Silence\0
213	2	81	0	35630.00000000	-49748.00000000	-760.00000000	a,	200	a,The Pagan Temple\0
214	2	82	0	88969.00000000	-45307.00000000	-2112.00000000	a,	200	a,Stakato Nest\0
215	4	0	0	111418.00000000	225960.00000000	-3624.00000000	a,	121	a,Tour Boat Dock\0
216	7	0	0	113750.00000000	-109163.00000000	-832.00000000	a,	138	a,Ice Merchant Cabin\0
217	7	0	0	126272.00000000	-159336.00000000	-1232.00000000	a,	138	a,Brigand Stronghold\0
218	1	83	0	8480.00000000	-14624.00000000	-3693.00000000	a,	200	a,Primeval Isle\0
219	4	0	0	10448.00000000	-24960.00000000	-3664.00000000	a,	200	a,Primeval Isle Wharf\0
220	7	0	0	26240.00000000	-7840.00000000	-1972.00000000	a,	200	a,Sailren's Den\0
234	1	78	0	145159.00000000	189247.00000000	-3756.00000000	a,	121	a,Isle of Prayer\0
235	2	81	0	143203.00000000	148824.00000000	-12004.00000000	a,	121	a,Crystal Caverns\0
236	1	82	0	148444.00000000	160914.00000000	-3102.00000000	a,	121	a,Chromatic Highlands\0
237	2	81	0	148838.00000000	179183.00000000	-6009.00000000	a,	121	a,Dark Cloud Mansion\0
238	7	0	0	160074.00000000	167893.00000000	-3538.00000000	a,	121	a,Coral Reef\0
239	7	0	0	149532.00000000	1772243.00000000	-610.00000000	a,	121	a,Parnassus\0
240	2	82	0	144697.00000000	147492.00000000	-12159.00000000	a,	121	a,Emerald Square\0
241	2	82	0	149948.00000000	150300.00000000	-12170.00000000	a,	121	a,Steam Corridor\0
242	2	83	0	141135.00000000	149911.00000000	-11840.00000000	a,	121	a,Coral Garden\0
243	1	1	0	-121436.00000000	56288.00000000	-1586.00000000	a,	97	a,Isle of Souls\0
244	3	1	0	-118070.00000000	45956.00000000	420.00000000	a,	97	a,Kamael Village\0
245	3	0	0	-86961.00000000	43356.00000000	-2680.00000000	a,	97	a,Nornil's Cave\0
246	2	15	0	-84728.00000000	60089.00000000	-2576.00000000	a,	97	a,Nornil's Garden\0
247	7	15	0	-123842.00000000	38117.00000000	1176.00000000	a,	97	a,Cave of Souls\0
248	1	12	0	-103032.00000000	46457.00000000	-1136.00000000	a,	97	a,Mimir's Forest\0
249	1	13	0	-116114.00000000	87005.00000000	-3544.00000000	a,	97	a,Hills of Gold\0
250	3	0	0	16732.00000000	188294.00000000	-2760.00000000	a,	1	a,Hive Fortress\0
251	3	0	0	5317.00000000	149746.00000000	-2728.00000000	a,	1	a,Floran Fortress\0
252	3	0	0	60342.00000000	139723.00000000	-1592.00000000	a,	1	a,Tanor Fortress\0
253	3	0	0	126082.00000000	123622.00000000	-2424.00000000	a,	16	a,Valley Fortress\0
254	3	0	0	-53034.00000000	156482.00000000	-1896.00000000	a,	30	a,Camp Fortress\0
255	3	0	0	-22429.00000000	219895.00000000	-3072.00000000	a,	30	a,Gludio Southern Fortress\0
256	3	0	0	72606.00000000	4413.00000000	-2888.00000000	a,	67	a,Ivory Fortress\0
257	3	0	0	-53234.00000000	91513.00000000	-2664.00000000	a,	67	a,Cloud Mountain Fortress\0
258	3	0	0	11535.00000000	95277.00000000	-3264.00000000	a,	67	a,Dragonspine Fortress\0
259	3	0	0	79503.00000000	91179.00000000	-2720.00000000	a,	67	a,Antharas' Fortress\0
260	3	0	0	111368.00000000	-14851.00000000	-832.00000000	a,	67	a,Western Fortress\0
261	3	0	0	154613.00000000	55391.00000000	-3096.00000000	a,	97	a,Narsell Fortress\0
262	3	0	0	189828.00000000	40014.00000000	-3248.00000000	a,	97	a,Bayou Fortress\0
263	3	0	0	125250.00000000	95423.00000000	-1976.00000000	a,	97	a,Hunter's Fortress\0
264	3	0	0	118659.00000000	205047.00000000	-3176.00000000	a,	121	a,White Sands Fortress\0
265	3	0	0	72959.00000000	186218.00000000	-2424.00000000	a,	121	a,Aaru Fortress\0
266	3	0	0	109203.00000000	-141149.00000000	-2800.00000000	a,	138	a,Archaic Fortress\0
267	3	0	0	158920.00000000	-70150.00000000	-2704.00000000	a,	180	a,Borderland Fortress\0
268	3	0	0	100429.00000000	-55316.00000000	-488.00000000	a,	180	a,Demon Fortress\0
269	3	0	0	69955.00000000	-61163.00000000	-2624.00000000	a,	200	a,Swamp Fortress\0
270	3	0	0	72269.00000000	-94495.00000000	-1264.00000000	a,	200	a,Monastic Fortress\0
271	2	0	0	19714.00000000	243420.00000000	-205.00000000	a,	30	a,Steel Citadel\0
272	1	0	0	27491.00000000	247340.00000000	-3256.00000000	a,	30	a,Anomic Foundry\0
273	1	0	0	-23517.00000000	244622.00000000	-3136.00000000	a,	30	a,Enchanted Megaliths\0
274	7	0	0	-20181.00000000	250693.00000000	-3248.00000000	a,	30	a,Hidden Oasis\0
275	1	0	0	-26781.00000000	255525.00000000	-1952.00000000	a,	30	a,Ancient Temple Remnants\0
276	1	0	0	-16989.00000000	253858.00000000	-3360.00000000	a,	30	a,Sand Swept Dunes\0
277	7	0	0	-4745.00000000	255654.00000000	-3128.00000000	a,	30	a,Caravan Encampment\0
278	1	0	0	-6295.00000000	242330.00000000	-2048.00000000	a,	30	a,Hellbound Quarry\0
279	1	0	0	3288.00000000	236080.00000000	-3400.00000000	a,	30	a,Battered Lands\0
280	1	0	0	3636.00000000	243372.00000000	-2000.00000000	a,	30	a,Steel Citadel Outpost\0
282	2	0	0	16882.00000000	238952.00000000	9776.00000000	a,	30	a,Tower of Infinitum\0
283	2	0	0	20886.00000000	244088.00000000	11062.00000000	a,	30	a,Tully's Workshop\0
284	2	0	0	16798.00000000	244263.00000000	11616.00000000	a,	30	a,Tower of Naia\0
285	0	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Rombarshya Territory\0
286	3	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Keucereus Alliance Base\0
287	7	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Temple of Shilen\0
288	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Seed of Destruction\0
289	7	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Secret Airstrip\0
290	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Entrance of Destruction\0
291	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Central Square\0
292	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Scouting Pass\0
293	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Fortress of Destruction\0
294	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Jinryong's Throne\0
295	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Seed of Infinity\0
296	7	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Death Gate\0
297	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Hall of Suffering\0
298	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Hall of Erosion\0
299	2	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Heart of Infinity\0
300	6	0	0	0.00000000	0.00000000	0.00000000	a,	285	a,Aerial Cleft\0
301	1	0	0	0.00000000	0.00000000	0.00000000	a,	179	a,Delusion Chamber\0
302	0	0	0	0.00000000	0.00000000	0.00000000	a,	302	a,Cardiff Territory\0
