nbr	tag	id	castle_name	location	desc	extra1	extra2	extra3	extra4
41	1	53	a,Aria Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
42	1	54	a,Yiana Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
43	1	55	a,Roien Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
44	1	56	a,Luna Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
45	1	57	a,Traban Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
46	1	58	a,Eisen Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0	a,	a,	a,	a,
47	1	59	a,Heavy Metal Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0	a,	a,	a,	a,
48	1	60	a,Molten Ore Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0	a,	a,	a,	a,
49	1	61	a,Titan Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0	a,	a,	a,	a,
50	1	62	a,Rainbow Springs\0	a,Goddard\0	a,	a,	a,	a,	a,
51	1	63	a,Wild Beast Reserve\0	a,Rune\0	a,	a,	a,	a,	a,
52	1	64	a,Fortress of the Dead\0	a,Rune\0	a,	a,	a,	a,	a,
53	1	81	a,Gludio Territory\0	a,Gludio\0	a,Region controlled by the lord of Gludio.\0	a,L2UI_CT1.Clan_DF_territorywaricon_gludio\0	a,L2UI_CT1.Clan_DF_territorywaricon_gludio_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_gludio\0	a,Gludio Guardian\0
54	1	82	a,Dion Territory\0	a,Dion\0	a,Region controlled by the lord of Dion.\0	a,L2UI_CT1.Clan_DF_territorywaricon_dion\0	a,L2UI_CT1.Clan_DF_territorywaricon_dion_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_dion\0	a,Dion Guardian\0
55	1	83	a,Giran Territory\0	a,Giran\0	a,Region controlled by the lord of Giran.\0	a,L2UI_CT1.Clan_DF_territorywaricon_giran\0	a,L2UI_CT1.Clan_DF_territorywaricon_giran_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_giran\0	a,Giran Guardian\0
56	1	84	a,Oren Territory\0	a,Oren\0	a,Region controlled by the lord of Oren.\0	a,L2UI_CT1.Clan_DF_territorywaricon_oren\0	a,L2UI_CT1.Clan_DF_territorywaricon_oren_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_oren\0	a,Oren Guardian\0
57	1	85	a,Aden Territory\0	a,Aden\0	a,Region controlled by the lord of Aden.\0	a,L2UI_CT1.Clan_DF_territorywaricon_aden\0	a,L2UI_CT1.Clan_DF_territorywaricon_aden_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_aden\0	a,Aden Guardian\0
58	1	86	a,Innadril Territory\0	a,Innadril\0	a,Region controlled by the lord of Innadril.\0	a,L2UI_CT1.Clan_DF_territorywaricon_innadril\0	a,L2UI_CT1.Clan_DF_territorywaricon_innadril_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_innadril\0	a,Innadril Guardian\0
59	1	87	a,Goddard Territory\0	a,Goddard\0	a,Region controlled by the lord of Goddard.\0	a,L2UI_CT1.Clan_DF_territorywaricon_godard\0	a,L2UI_CT1.Clan_DF_territorywaricon_godard_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_godard\0	a,Goddard Guardian\0
60	1	88	a,Rune Territory\0	a,Rune\0	a,Region controlled by the lord of Rune.\0	a,L2UI_CT1.Clan_DF_territorywaricon_rune\0	a,L2UI_CT1.Clan_DF_territorywaricon_rune_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_rune\0	a,Rune Guardian\0
61	1	89	a,Schuttgart Territory\0	a,Schuttgart\0	a,Region controlled by the lord of Schuttgart.\0	a,L2UI_CT1.Clan_DF_territorywaricon_schuttgart\0	a,L2UI_CT1.Clan_DF_territorywaricon_schuttgart_penalty\0	a,L2UI_CT1.Guidewnd_DF_territorywaricon_schuttgart\0	a,Schuttgart Guardian\0
62	1	101	a,Shanty Fortress\0	a,Gludio\0	a,Fortress located in Gludio\0	a,	a,	a,	a,
63	1	102	a,Southern Fortress\0	a,Gludio\0	a,Fortress located in Gludio\0	a,	a,	a,	a,
64	1	103	a,Hive Fortress\0	a,Dion\0	a,Fortress located in Dion\0	a,	a,	a,	a,
65	1	104	a,Valley Fortress\0	a,Giran\0	a,Fortress located in Giran\0	a,	a,	a,	a,
66	1	105	a,Ivory Fortress\0	a,Oren\0	a,Fortress located in Oren\0	a,	a,	a,	a,
67	1	106	a,Narsell Fortress\0	a,Aden\0	a,Fortress located in Aden\0	a,	a,	a,	a,
68	1	107	a,Bayou Fortress\0	a,Aden\0	a,Fortress located in Aden\0	a,	a,	a,	a,
69	1	108	a,White Sands Fortress\0	a,Innadril\0	a,Fortress located in Innadril\0	a,	a,	a,	a,
70	1	109	a,Borderland Fortress\0	a,Goddard\0	a,Fortress located in Goddard\0	a,	a,	a,	a,
71	1	110	a,Swamp Fortress\0	a,Rune\0	a,Fortress located in Rune\0	a,	a,	a,	a,
72	1	111	a,Archaic Fortress\0	a,Schuttgart\0	a,Fortress located in Schuttgart\0	a,	a,	a,	a,
73	1	112	a,Floran Fortress\0	a,Dion\0	a,Fortess located between Dion and Gludio\0	a,	a,	a,	a,
74	1	113	a,Cloud Mountain Fortress\0	a,Oren\0	a,Fortess located between Oren and Gludio\0	a,	a,	a,	a,
75	1	114	a,Tanor Fortress\0	a,Dion\0	a,Fortess located between Dion and Giran\0	a,	a,	a,	a,
76	1	115	a,Dragonspine Fortress\0	a,Oren\0	a,Fortess located between Oren and Dion\0	a,	a,	a,	a,
77	1	116	a,Antharas' Fortress\0	a,Oren\0	a,Fortess located between Oren and Giran\0	a,	a,	a,	a,
78	1	117	a,Western Fortress\0	a,Oren\0	a,Fortress bordered by Oren, Aden and Goddard\0	a,	a,	a,	a,
79	1	118	a,Hunter's Fortress\0	a,Aden\0	a,Fortess located between Aden and Giran\0	a,	a,	a,	a,
80	1	119	a,Aaru Fortress\0	a,Innadril\0	a,Fortess located between Innadril and Giran\0	a,	a,	a,	a,
81	1	120	a,Demon Fortress\0	a,Goddard\0	a,Fortess located between Goddard and Rune\0	a,	a,	a,	a,
82	1	121	a,Monastic Fortress\0	a,Rune\0	a,Fortess located between Rune and Schuttgart\0	a,	a,	a,	a,
